"#set","station","line num","no trait","powered","charged","precise","infused","defending","training","sharpened","decisive","nirnhoned","item name"
26,6,3,60620,60305,60340,60375,60410,60445,60480,60515,60550,60585,"Ice Staff of Redistribution"
26,6,4,60621,60306,60341,60376,60411,60446,60481,60516,60551,60586,"Lightning Staff of Redistribution"
26,6,5,60622,60307,60342,60377,60412,60447,60482,60517,60552,60587,"Restoration Staff of Redistribution"
26,6,6,60645,60330,60365,60400,60435,60470,60505,60540,60575,60610,"Shield of Redistribution"
30,2,1,70642,70712,70747,70782,70817,70852,70887,70922,70957,70677,"Robe of Morkuldin"
30,2,2,70643,70713,70748,70783,70818,70853,70888,70923,70958,70678,"Jerkin of Morkuldin"
30,2,3,70648,70718,70753,70788,70823,70858,70893,70928,70963,70683,"Shoes of Morkuldin"
30,2,4,70645,70715,70750,70785,70820,70855,70890,70925,70960,70680,"Gloves of Morkuldin"
30,2,5,70641,70711,70746,70781,70816,70851,70886,70921,70956,70676,"Hat of Morkuldin"
30,2,6,70647,70717,70752,70787,70822,70857,70892,70927,70962,70682,"Breeches of Morkuldin"
30,2,7,70644,70714,70749,70784,70819,70854,70889,70924,70959,70679,"Epaulets of Morkuldin"
30,2,8,70646,70716,70751,70786,70821,70856,70891,70926,70961,70681,"Sash of Morkuldin"
30,2,9,70635,70705,70740,70775,70810,70845,70880,70915,70950,70670,"Jack of Morkuldin"
30,2,10,70640,70710,70745,70780,70815,70850,70885,70920,70955,70675,"Boots of Morkuldin"
30,2,11,70637,70707,70742,70777,70812,70847,70882,70917,70952,70672,"Bracers of Morkuldin"
30,2,12,70634,70704,70739,70774,70809,70844,70879,70914,70949,70669,"Helmet of Morkuldin"
30,2,13,70639,70709,70744,70779,70814,70849,70884,70919,70954,70674,"Guards of Morkuldin"
30,2,14,70636,70706,70741,70776,70811,70846,70881,70916,70951,70671,"Arm Cops of Morkuldin"
30,2,15,70638,70708,70743,70778,70813,70848,70883,70918,70953,70673,"Belt of Morkuldin"
30,1,1,70649,70719,70754,70789,70824,70859,70894,70929,70964,70684,"axe of Morkuldin"
30,1,2,70651,70721,70756,70791,70826,70861,70896,70931,70966,70686,"mace of Morkuldin"
30,1,3,70650,70720,70755,70790,70825,70860,70895,70930,70965,70685,"Sword of Morkuldin"
30,1,4,70652,70722,70757,70792,70827,70862,70897,70932,70967,70687,"Battle Axe of Morkuldin"
30,1,5,70654,70724,70759,70794,70829,70864,70899,70934,70969,70689,"Greatsword of Morkuldin"
30,1,6,70653,70723,70758,70793,70828,70863,70898,70933,70968,70688,"Maul of Morkuldin"
30,1,7,70655,70725,70760,70795,70830,70865,70900,70935,70970,70690,"Dagger of Morkuldin"
30,1,8,70628,70698,70733,70768,70803,70838,70873,70908,70943,70663,"Cuirass of Morkuldin"
30,1,9,70633,70703,70738,70773,70808,70843,70878,70913,70948,70668,"Sabatons of Morkuldin"
30,1,10,70630,70700,70735,70770,70805,70840,70875,70910,70945,70665,"Gauntlets of Morkuldin"
30,1,11,70627,70697,70732,70767,70802,70837,70872,70907,70942,70662,"Helm of Morkuldin"
30,1,12,70632,70702,70737,70772,70807,70842,70877,70912,70947,70667,"Greaves of Morkuldin"
30,1,13,70629,70699,70734,70769,70804,70839,70874,70909,70944,70664,"Pauldron of Morkuldin"
30,1,14,70631,70701,70736,70771,70806,70841,70876,70911,70946,70666,"Girdle of Morkuldin"
30,6,1,70656,70726,70761,70796,70831,70866,70901,70936,70971,70691,"Bow of Morkuldin"
30,6,2,70658,70728,70763,70798,70833,70868,70903,70938,70973,70693,"Inferno Staff of Morkuldin"
30,6,3,70659,70729,70764,70799,70834,70869,70904,70939,70974,70694,"Ice Staff of Morkuldin"
30,6,4,70660,70730,70765,70800,70835,70870,70905,70940,70975,70695,"Lightning Staff of Morkuldin"
30,6,5,70661,70731,70766,70801,70836,70871,70906,70941,70976,70696,"Restoration Staff of Morkuldin"
30,6,6,70657,70727,70762,70797,70832,70867,70902,70937,70972,70692,"Shield of Morkuldin"
37,2,1,121571,121816,121746,121711,121676,121851,121606,121781,121641,121886,"Assassin's Robe"
37,2,2,121576,121821,121751,121716,121681,121856,121611,121786,121646,121891,"Assassin's Jerkin"
37,2,3,121572,121817,121747,121712,121677,121852,121607,121782,121642,121887,"Assassin's Shoes"
37,2,4,121573,121818,121748,121713,121678,121853,121608,121783,121643,121888,"Assassin's Gloves"
37,2,5,121574,121819,121749,121714,121679,121854,121609,121784,121644,121889,"Assassin's Hat"
37,2,6,121575,121820,121750,121715,121680,121855,121610,121785,121645,121890,"Assassin's Breeches"
37,2,7,121577,121822,121752,121717,121682,121857,121612,121787,121647,121892,"Assassin's Epaulets"
37,2,8,121578,121823,121753,121718,121683,121858,121613,121788,121648,121893,"Assassin's Sash"
37,2,9,121579,121824,121754,121719,121684,121859,121614,121789,121649,121894,"Assassin's Jack"
37,2,10,121580,121825,121755,121720,121685,121860,121615,121790,121650,121895,"Assassin's Boots"
37,2,11,121581,121826,121756,121721,121686,121861,121616,121791,121651,121896,"Assassin's Bracers"
37,2,12,121582,121827,121757,121722,121687,121862,121617,121792,121652,121897,"Assassin's Helmet"
37,2,13,121583,121828,121758,121723,121688,121863,121618,121793,121653,121898,"Assassin's Guards"
37,2,14,121584,121829,121759,121724,121689,121864,121619,121794,121654,121899,"Assassin's Arm Cops"
37,2,15,121585,121830,121760,121725,121690,121865,121620,121795,121655,121900,"Assassin's Belt"
37,1,1,121551,121621,121761,121656,121586,121691,121831,121726,121796,121866,"Assassin's Axe"
37,1,2,121552,121622,121762,121657,121587,121692,121832,121727,121797,121867,"Assassin's Mace"
37,1,3,121553,121623,121763,121658,121588,121693,121833,121728,121798,121868,"Assassin's Sword"
37,1,4,121554,121624,121764,121659,121589,121694,121834,121729,121799,121869,"Assassin's Battle Axe"
37,1,5,121556,121626,121766,121661,121591,121696,121836,121731,121801,121871,"Assassin's Greatsword"
37,1,6,121555,121625,121765,121660,121590,121695,121835,121730,121800,121870,"Assassin's Maul"
37,1,7,121557,121627,121767,121662,121592,121697,121837,121732,121802,121872,"Assassin's Dagger"
37,1,8,121564,121809,121739,121704,121669,121844,121599,121774,121634,121879,"Assassin's Cuirass"
37,1,9,121565,121810,121740,121705,121670,121845,121600,121775,121635,121880,"Assassin's Sabatons"
37,1,10,121566,121811,121741,121706,121671,121846,121601,121776,121636,121881,"Assassin's Gauntlets"
37,1,11,121567,121812,121742,121707,121672,121847,121602,121777,121637,121882,"Assassin's Helm"
37,1,12,121568,121813,121743,121708,121673,121848,121603,121778,121638,121883,"Assassin's Greaves"
37,1,13,121569,121814,121744,121709,121674,121849,121604,121779,121639,121884,"Assassin's Pauldron"
37,1,14,121570,121815,121745,121710,121675,121850,121605,121780,121640,121885,"Assassin's Girdle"
37,6,1,121558,121628,121768,121663,121593,121698,121838,121733,121803,121873,"Assassin's Bow"
37,6,2,121559,121629,121769,121664,121594,121699,121839,121734,121804,121874,"Assassin's Inferno Staff"
37,6,3,121560,121630,121770,121665,121595,121700,121840,121735,121805,121875,"Assassin's Ice Staff"
37,6,4,121561,121631,121771,121666,121596,121701,121841,121736,121806,121876,"Assassin's Lightning Staff"
37,6,5,121562,121632,121772,121667,121597,121702,121842,121737,121807,121877,"Assassin's Restoration Staff"
37,6,6,121563,121808,121738,121703,121668,121843,121598,121773,121633,121878,"Assassin's Shield"
2,2,1,43805,46417,46230,46382,54629,46440,46265,46207,46184,56122,"Robe of Death's Wind"
2,2,2,46516,46422,46235,46387,46489,46445,46270,46212,46189,56127,"Shirt of Death's Wind"
2,2,3,43806,46418,46231,46383,54630,46441,46266,46208,46185,56123,"Shoes of Death's Wind"
2,2,4,46514,46419,46232,46384,46487,46442,46267,46209,46186,56124,"Gloves of Death's Wind"
2,2,5,46515,46420,46233,46385,46488,46443,46268,46210,46187,56125,"Hat of Death's Wind"
2,2,6,43804,46421,46234,46386,54631,46444,46269,46211,46188,56126,"Breeches of Death's Wind"
2,2,7,43803,46423,46236,46388,54632,46446,46271,46213,46190,56128,"Epaulets of Death's Wind"
2,2,8,46517,46424,46237,46389,46490,46447,46272,46214,46191,56129,"Sash of Death's Wind"
2,2,9,46519,46425,46238,46390,46491,46448,46273,46215,46192,56130,"Jack of Death's Wind"
2,2,10,46520,46426,46239,46391,46492,46449,46274,46216,46193,56131,"Boots of Death's Wind"
2,2,11,46521,46427,46240,46392,46493,46450,46275,46217,46194,56132,"Bracers of Death's Wind"
2,2,12,46522,46428,46241,46393,46494,46451,46276,46218,46195,56133,"Helmet of Death's Wind"
2,2,13,46523,46429,46242,46394,46495,46452,46277,46219,46196,56134,"Guards of Death's Wind"
2,2,14,46524,46430,46243,46395,46496,46453,46278,46220,46197,56135,"Arm Cops of Death's Wind"
2,2,15,46525,46431,46244,46396,46497,46454,46279,46221,46198,56136,"Belt of Death's Wind"
2,1,1,46499,46351,46153,46363,46246,46165,46456,46398,46468,56103,"Axe of Death's Wind"
2,1,2,46500,46352,46154,46364,46247,46166,46457,46399,46469,56104,"Hammer of Death's Wind"
2,1,3,46501,46353,46155,46365,46248,46167,46458,46400,46470,56105,"Sword of Death's Wind"
2,1,4,46502,46354,46156,46366,46249,46168,46459,46401,46471,56106,"Battle Axe of Death's Wind"
2,1,5,46504,46356,46158,46368,46251,46170,46461,46403,46473,56108,"Greatsword of Death's Wind"
2,1,6,46503,46355,46157,46367,46250,46169,46460,46402,46472,56107,"Maul of Death's Wind"
2,1,7,46505,46357,46159,46369,46252,46171,46462,46404,46474,56109,"Dagger of Death's Wind"
2,1,8,46507,46410,46223,46375,46480,46433,46258,46200,46177,56115,"Cuirass of Death's Wind"
2,1,9,46508,46411,46224,46376,46481,46434,46259,46201,46178,56116,"Sabatons of Death's Wind"
2,1,10,46509,46412,46225,46377,46482,46435,46260,46202,46179,56117,"Gauntlets of Death's Wind"
2,1,11,46510,46413,46226,46378,46483,46436,46261,46203,46180,56118,"Helm of Death's Wind"
2,1,12,46511,46414,46227,46379,46484,46437,46262,46204,46181,56119,"Greaves of Death's Wind"
2,1,13,46512,46415,46228,46380,46485,46438,46263,46205,46182,56120,"Pauldron of Death's Wind"
2,1,14,46513,46416,46229,46381,46486,46439,46264,46206,46183,56121,"Girdle of Death's Wind"
2,6,1,46518,46358,46160,46370,46253,46172,46463,46405,46475,56110,"Bow of Death's Wind"
2,6,2,46528,46359,46161,46371,46254,46173,46464,46406,46476,56111,"Inferno Staff of Death's Wind"
2,6,3,46529,46360,46162,46372,46255,46174,46465,46407,46477,56112,"Ice Staff of Death's Wind"
2,6,4,46530,46361,46163,46373,46256,46175,46466,46408,46478,56113,"Lightning Staff of Death's Wind"
2,6,5,46531,46362,46164,46374,46257,46176,46467,46409,46479,56114,"Restoration Staff of Death's Wind"
2,6,6,46527,46432,46245,46397,46498,46455,46280,46222,46199,56137,"Shield of Death's Wind"
3,2,1,47279,47179,46992,47144,47249,47202,47027,46969,46946,56192,"Robe of Night's Silence"
3,2,2,47284,47184,46997,47149,47254,47207,47032,46974,46951,56197,"Shirt of Night's Silence"
3,2,3,47280,47180,46993,47145,47250,47203,47028,46970,46947,56193,"Shoes of Night's Silence"
3,2,4,47281,47181,46994,47146,47251,47204,47029,46971,46948,56194,"Gloves of Night's Silence"
3,2,5,47282,47182,46995,47147,47252,47205,47030,46972,46949,56195,"Hat of Night's Silence"
3,2,6,47283,47183,46996,47148,47253,47206,47031,46973,46950,56196,"Breeches of Night's Silence"
3,2,7,47285,47185,46998,47150,47255,47208,47033,46975,46952,56198,"Epaulets of Night's Silence"
3,2,8,47286,47186,46999,47151,47256,47209,47034,46976,46953,56199,"Sash of Night's Silence"
3,2,9,43816,47187,47000,47152,47257,47210,47035,46977,46954,56200,"Jack of Night's Silence"
3,2,10,47288,47188,47001,47153,47258,47211,47036,46978,46955,56201,"Boots of Night's Silence"
3,2,11,43815,47189,47002,47154,47259,47212,47037,46979,46956,56202,"Bracers of Night's Silence"
3,2,12,47289,47190,47003,47155,47260,47213,47038,46980,46957,56203,"Helmet of Night's Silence"
3,2,13,47290,47191,47004,47156,47261,47214,47039,46981,46958,56204,"Guards of Night's Silence"
3,2,14,47291,47192,47005,47157,47262,47215,47040,46982,46959,56205,"Arm Cops of Night's Silence"
3,2,15,47292,47193,47006,47158,47263,47216,47041,46983,46960,56206,"Belt of Night's Silence"
3,1,1,47265,47113,46915,47125,47008,46927,47218,47160,47230,56173,"Axe of Night's Silence"
3,1,2,47266,47114,46916,47126,47009,46928,47219,47161,47231,56174,"Hammer of Night's Silence"
3,1,3,47267,47115,46917,47127,47010,46929,47220,47162,47232,56175,"Sword of Night's Silence"
3,1,4,47268,47116,46918,47128,47011,46930,47221,47163,47233,56176,"Battle Axe of Night's Silence"
3,1,5,47270,47118,46920,47130,47013,46932,47223,47165,47235,56178,"Greatsword of Night's Silence"
3,1,6,47269,47117,46919,47129,47012,46931,47222,47164,47234,56177,"Maul of Night's Silence"
3,1,7,43818,47119,46921,47131,47014,46933,47224,47166,47236,56179,"Dagger of Night's Silence"
3,1,8,47272,47172,46985,47137,47242,47195,47020,46962,46939,56185,"Cuirass of Night's Silence"
3,1,9,47273,47173,46986,47138,47243,47196,47021,46963,46940,56186,"Sabatons of Night's Silence"
3,1,10,47274,47174,46987,47139,47244,47197,47022,46964,46941,56187,"Gauntlets of Night's Silence"
3,1,11,47275,47175,46988,47140,47245,47198,47023,46965,46942,56188,"Helm of Night's Silence"
3,1,12,47276,47176,46989,47141,47246,47199,47024,46966,46943,56189,"Greaves of Night's Silence"
3,1,13,47277,47177,46990,47142,47247,47200,47025,46967,46944,56190,"Pauldron of Night's Silence"
3,1,14,47278,47178,46991,47143,47248,47201,47026,46968,46945,56191,"Girdle of Night's Silence"
3,6,1,47287,47120,46922,47132,47015,46934,47225,47167,47237,56180,"Bow of Night's Silence"
3,6,2,47294,47121,46923,47133,47016,46935,47226,47168,47238,56181,"Inferno Staff of Night's Silence"
3,6,3,47295,47122,46924,47134,47017,46936,47227,47169,47239,56182,"Ice Staff of Night's Silence"
3,6,4,47296,47123,46925,47135,47018,46937,47228,47170,47240,56183,"Lightning Staff of Night's Silence"
3,6,5,47297,47124,46926,47136,47019,46938,47229,47171,47241,56184,"Restoration Staff of Night's Silence"
3,6,6,47293,47194,47007,47159,47264,47217,47042,46984,46961,56207,"Shield of Night's Silence"
4,2,1,49575,49477,49290,49442,49547,49500,49325,49267,49244,56402,"Robe of Ashen Grip"
4,2,2,49580,49482,49295,49447,49552,49505,49330,49272,49249,56407,"Shirt of Ashen Grip"
4,2,3,49576,49478,49291,49443,49548,49501,49326,49268,49245,56403,"Shoes of Ashen Grip"
4,2,4,49577,49479,49292,49444,49549,49502,49327,49269,49246,56404,"Gloves of Ashen Grip"
4,2,5,49578,49480,49293,49445,49550,49503,49328,49270,49247,56405,"Hat of Ashen Grip"
4,2,6,49579,49481,49294,49446,49551,49504,49329,49271,49248,56406,"Breeches of Ashen Grip"
4,2,7,49581,49483,49296,49448,49553,49506,49331,49273,49250,56408,"Epaulets of Ashen Grip"
4,2,8,49582,49484,49297,49449,49554,49507,49332,49274,49251,56409,"Sash of Ashen Grip"
4,2,9,49584,49485,49298,49450,49555,49508,49333,49275,49252,56410,"Jack of Ashen Grip"
4,2,10,49585,49486,49299,49451,49556,49509,49334,49276,49253,56411,"Boots of Ashen Grip"
4,2,11,49586,49487,49300,49452,49557,49510,49335,49277,49254,56412,"Bracers of Ashen Grip"
4,2,12,49587,49488,49301,49453,49558,49511,49336,49278,49255,56413,"Helmet of Ashen Grip"
4,2,13,49588,49489,49302,49454,49559,49512,49337,49279,49256,56414,"Guards of Ashen Grip"
4,2,14,49589,49490,49303,49455,49560,49513,49338,49280,49257,56415,"Arm Cops of Ashen Grip"
4,2,15,49590,49491,49304,49456,49561,49514,49339,49281,49258,56416,"Belt of Ashen Grip"
4,1,1,49563,49411,49213,49423,49306,49225,49516,49458,49528,56383,"Axe of Ashen Grip"
4,1,2,49564,49412,49214,49424,49307,49226,49517,49459,49529,56384,"Hammer of Ashen Grip"
4,1,3,49565,49413,49215,49425,49308,49227,49518,49460,49530,56385,"Sword of Ashen Grip"
4,1,4,49566,49414,49216,49426,49309,49228,49519,49461,49531,56386,"Battle Axe of Ashen Grip"
4,1,5,49568,49416,49218,49428,49311,49230,49521,49463,49533,56388,"Greatsword of Ashen Grip"
4,1,6,49567,49415,49217,49427,49310,49229,49520,49462,49532,56387,"Maul of Ashen Grip"
4,1,7,49569,49417,49219,49429,49312,49231,49522,49464,49534,56389,"Dagger of Ashen Grip"
4,1,8,43873,49470,49283,49435,49540,49493,49318,49260,49237,56395,"Cuirass of Ashen Grip"
4,1,9,49571,49471,49284,49436,49541,49494,49319,49261,49238,56396,"Sabatons of Ashen Grip"
4,1,10,49572,49472,49285,49437,49542,49495,49320,49262,49239,56397,"Gauntlets of Ashen Grip"
4,1,11,49573,49473,49286,49438,49543,49496,49321,49263,49240,56398,"Helm of Ashen Grip"
4,1,12,43872,49474,49287,49439,49544,49497,49322,49264,49241,56399,"Greaves of Ashen Grip"
4,1,13,43871,49475,49288,49440,49545,49498,49323,49265,49242,56400,"Pauldron of Ashen Grip"
4,1,14,49574,49476,49289,49441,49546,49499,49324,49266,49243,56401,"Girdle of Ashen Grip"
4,6,1,49583,49418,49220,49430,49313,49232,49523,49465,49535,56390,"Bow of Ashen Grip"
4,6,2,49592,49419,49221,49431,49314,49233,49524,49466,49536,56391,"Inferno Staff of Ashen Grip"
4,6,3,49593,49420,49222,49432,49315,49234,49525,49467,49537,56392,"Ice Staff of Ashen Grip"
4,6,4,49594,49421,49223,49433,49316,49235,49526,49468,49538,56393,"Lightning Staff of Ashen Grip"
4,6,5,49595,49422,49224,49434,49317,49236,49527,49469,49539,56394,"Restoration Staff of Ashen Grip"
4,6,6,49591,49492,49305,49457,49562,49515,49340,49282,49259,56417,"Shield of Ashen Grip"
5,2,1,43979,50622,50435,50587,50692,50645,50470,50412,50389,56507,"Robe of Torug's Pact"
5,2,2,50725,50627,50440,50592,50697,50650,50475,50417,50394,56512,"Shirt of Torug's Pact"
5,2,3,50722,50623,50436,50588,50693,50646,50471,50413,50390,56508,"Shoes of Torug's Pact"
5,2,4,50723,50624,50437,50589,50694,50647,50472,50414,50391,56509,"Gloves of Torug's Pact"
5,2,5,50724,50625,50438,50590,50695,50648,50473,50415,50392,56510,"Hat of Torug's Pact"
5,2,6,43978,50626,50439,50591,50696,50649,50474,50416,50393,56511,"Breeches of Torug's Pact"
5,2,7,43977,50628,50441,50593,50698,50651,50476,50418,50395,56513,"Epaulets of Torug's Pact"
5,2,8,50726,50629,50442,50594,50699,50652,50477,50419,50396,56514,"Sash of Torug's Pact"
5,2,9,50728,50630,50443,50595,50700,50653,50478,50420,50397,56515,"Jack of Torug's Pact"
5,2,10,50729,50631,50444,50596,50701,50654,50479,50421,50398,56516,"Boots of Torug's Pact"
5,2,11,50730,50632,50445,50597,50702,50655,50480,50422,50399,56517,"Bracers of Torug's Pact"
5,2,12,50731,50633,50446,50598,50703,50656,50481,50423,50400,56518,"Helmet of Torug's Pact"
5,2,13,50732,50634,50447,50599,50704,50657,50482,50424,50401,56519,"Guards of Torug's Pact"
5,2,14,50733,50635,50448,50600,50705,50658,50483,50425,50402,56520,"Arm Cops of Torug's Pact"
5,2,15,50734,50636,50449,50601,50706,50659,50484,50426,50403,56521,"Belt of Torug's Pact"
5,1,1,50708,50556,50358,50568,50451,50370,50661,50603,50673,56488,"Axe of Torug's Pact"
5,1,2,50709,50557,50359,50569,50452,50371,50662,50604,50674,56489,"Hammer of Torug's Pact"
5,1,3,50710,50558,50360,50570,50453,50372,50663,50605,50675,56490,"Sword of Torug's Pact"
5,1,4,50711,50559,50361,50571,50454,50373,50664,50606,50676,56491,"Battle Axe of Torug's Pact"
5,1,5,50713,50561,50363,50573,50456,50375,50666,50608,50678,56493,"Greatsword of Torug's Pact"
5,1,6,50712,50560,50362,50572,50455,50374,50665,50607,50677,56492,"Maul of Torug's Pact"
5,1,7,50714,50562,50364,50574,50457,50376,50667,50609,50679,56494,"Dagger of Torug's Pact"
5,1,8,50715,50615,50428,50580,50685,50638,50463,50405,50382,56500,"Cuirass of Torug's Pact"
5,1,9,50716,50616,50429,50581,50686,50639,50464,50406,50383,56501,"Sabatons of Torug's Pact"
5,1,10,50717,50617,50430,50582,50687,50640,50465,50407,50384,56502,"Gauntlets of Torug's Pact"
5,1,11,50718,50618,50431,50583,50688,50641,50466,50408,50385,56503,"Helm of Torug's Pact"
5,1,12,50719,50619,50432,50584,50689,50642,50467,50409,50386,56504,"Greaves of Torug's Pact"
5,1,13,50720,50620,50433,50585,50690,50643,50468,50410,50387,56505,"Pauldron of Torug's Pact"
5,1,14,50721,50621,50434,50586,50691,50644,50469,50411,50388,56506,"Girdle of Torug's Pact"
5,6,1,50727,50563,50365,50575,50458,50377,50668,50610,50680,56495,"Bow of Torug's Pact"
5,6,2,50736,50564,50366,50576,50459,50378,50669,50611,50681,56496,"Inferno Staff of Torug's Pact"
5,6,3,50737,50565,50367,50577,50460,50379,50670,50612,50682,56497,"Ice Staff of Torug's Pact"
5,6,4,50738,50566,50368,50578,50461,50380,50671,50613,50683,56498,"Lightning Staff of Torug's Pact"
5,6,5,50739,50567,50369,50579,50462,50381,50672,50614,50684,56499,"Restoration Staff of Torug's Pact"
5,6,6,50735,50637,50450,50602,50707,50660,50485,50427,50404,56522,"Shield of Torug's Pact"
6,2,1,43808,46796,46609,46761,46866,46819,46644,46586,46563,56157,"Robe of Twilight's Embrace"
6,2,2,46900,46801,46614,46766,46871,46824,46649,46591,46568,56162,"Shirt of Twilight's Embrace"
6,2,3,43810,46797,46610,46762,46867,46820,46645,46587,46564,56158,"Shoes of Twilight's Embrace"
6,2,4,46897,46798,46611,46763,46868,46821,46646,46588,46565,56159,"Gloves of Twilight's Embrace"
6,2,5,46898,46799,46612,46764,46869,46822,46647,46589,46566,56160,"Hat of Twilight's Embrace"
6,2,6,46899,46800,46613,46765,46870,46823,46648,46590,46567,56161,"Breeches of Twilight's Embrace"
6,2,7,43807,46802,46615,46767,46872,46825,46650,46592,46569,56163,"Epaulets of Twilight's Embrace"
6,2,8,43809,46803,46616,46768,46873,46826,46651,46593,46570,56164,"Sash of Twilight's Embrace"
6,2,9,46902,46804,46617,46769,46874,46827,46652,46594,46571,56165,"Jack of Twilight's Embrace"
6,2,10,46903,46805,46618,46770,46875,46828,46653,46595,46572,56166,"Boots of Twilight's Embrace"
6,2,11,46904,46806,46619,46771,46876,46829,46654,46596,46573,56167,"Bracers of Twilight's Embrace"
6,2,12,46905,46807,46620,46772,46877,46830,46655,46597,46574,56168,"Helmet of Twilight's Embrace"
6,2,13,46906,46808,46621,46773,46878,46831,46656,46598,46575,56169,"Guards of Twilight's Embrace"
6,2,14,46907,46809,46622,46774,46879,46832,46657,46599,46576,56170,"Arm Cops of Twilight's Embrace"
6,2,15,46908,46810,46623,46775,46880,46833,46658,46600,46577,56171,"Belt of Twilight's Embrace"
6,1,1,46882,46730,46532,46742,46625,46544,46835,46777,46847,56138,"Axe of Twilight's Embrace"
6,1,2,46883,46731,46533,46743,46626,46545,46836,46778,46848,56139,"Hammer of Twilight's Embrace"
6,1,3,46884,46732,46534,46744,46627,46546,46837,46779,46849,56140,"Sword of Twilight's Embrace"
6,1,4,46885,46733,46535,46745,46628,46547,46838,46780,46850,56141,"Battle Axe of Twilight's Embrace"
6,1,5,46887,46735,46537,46747,46630,46549,46840,46782,46852,56143,"Greatsword of Twilight's Embrace"
6,1,6,46886,46734,46536,46746,46629,46548,46839,46781,46851,56142,"Maul of Twilight's Embrace"
6,1,7,46888,46736,46538,46748,46631,46550,46841,46783,46853,56144,"Dagger of Twilight's Embrace"
6,1,8,46890,46789,46602,46754,46859,46812,46637,46579,46556,56150,"Cuirass of Twilight's Embrace"
6,1,9,46891,46790,46603,46755,46860,46813,46638,46580,46557,56151,"Sabatons of Twilight's Embrace"
6,1,10,46892,46791,46604,46756,46861,46814,46639,46581,46558,56152,"Gauntlets of Twilight's Embrace"
6,1,11,46893,46792,46605,46757,46862,46815,46640,46582,46559,56153,"Helm of Twilight's Embrace"
6,1,12,46894,46793,46606,46758,46863,46816,46641,46583,46560,56154,"Greaves of Twilight's Embrace"
6,1,13,46895,46794,46607,46759,46864,46817,46642,46584,46561,56155,"Pauldron of Twilight's Embrace"
6,1,14,46896,46795,46608,46760,46865,46818,46643,46585,46562,56156,"Girdle of Twilight's Embrace"
